CGDID,TTGDID,CPTID,easting__N,northing__,Investigat,Investig_1,Reference,PreDrill_D,Depth_of_T,Groundwate,Measured_D,ConeID,Known_Issu,Post_Groun,obs_class
6454,6454,5486,1571901.981,5181010.91,CPT,,RCH-POD01-CPT008,0,6.7601,0,0,C10CFIIP.C10267,,0,2
21231,21231,16737,1571902.455,5181910.331,CPT,,RCH-POD03-CPT133,0,10.2,1,0.9,C10CFIIP.C10268,,0,2
29016,25222,18550,1571905.012,5183912.757,CPT,,CPT05,0,6.68,1,0.99,4592,,0,2
1963,1963,2462,1571905.232,5182375.642,CPT,,CPT-RCH-83,1.2,4.16,1,2,,,0,2
4453,4453,3307,1571909.786,5181432.546,CPT,,RCH-POD03-CPT090,0,4.5,0,0,236512,,0,2
17312,17312,14196,1571912.535,5181904.554,CPT,,45 Slater St - CPT1,0,20.62,1,5,MK290,,0,2
4454,4454,3308,1571912.72,5181578.65,CPT,,RCH-POD03-CPT116,0,6.77,0,0,4467,,0,2
2939,2939,2490,1571913.14,5181579.609,CPT,,RCH-POD03-CPT117,0,20,0,0,4221 100KN,,0,2
3999,3999,2931,1571913.5,5180901.983,CPT,,RCH-POD01-CPT020,0.2,20,0,0,C10CFIIP.C10021,,0,2
4001,4001,2933,1571914.37,5180884.01,CPT,,RCH-POD01-CPT031,0.2,20,0,0,C10CFIIP.C10021,,0,2
8380,8380,7438,1571915.457,5181996.798,CPT,,352,0,2.993,0,0,unknown,,0,2
57121,57298,50000,1571920.049,5182239.404,CPT,,34480,0,14.84951692,1,1.1,4652,,0,2
